Id,Seri,Model,Ilan Basligi,Yil,KM,Renk,Ilan Tarihi,Il / Ilce,Fiyat
107,Ceed,1.6 CRDi Concept Plus,96.000 KM DE DE???ENS?Z,2013,95,G�m�? Gri,"19 Ocak
                        2020",?stanbul�mraniye,95.000 TL
108,7 Serisi,740d,^^�APO?LU^^ BOYASIZ-ISITMA -SO?UTMA-MULT? MED?A-E.BAGAJ,2011,163,Siyah,"22 Ocak
                        2020",?stanbulEsenyurt,338.500 TL
109,626,2,sahibinden masrafs?z 626 (250 cc ve �zeri takasl?),1994,336,Ye?il,"14 Ocak
                        2020",D�zceMerkez,17.500 TL
110,C3,1.2 VTi Cool,HATASIZ OTOMAT?K V?TES CAM TAVANLI C3 ''ARCANLAR'',2015,94,Beyaz,"20 Ocak
                        2020",EdirneMerkez,77.000 TL
111,Accent Era,1.4 Expo Gold,KM ORJ?NAL 72B?N OTOMAT?K V?TES,2009,72,Bordo,"16 Ocak
                        2020",?stanbulK���k�ekmece,54.650 TL
112,Fiesta,1.4 TDCi Titanium X,bayandan fort fiesta full paket,2012,110,Siyah,"21 Ocak
                        2020",Diyarbak?rKayap?nar,75.000 TL
113,C-Elys�e,1.6 HDi  Shine,KAHRAMAN OTOMOT?V'DEN 2017 BOYASIZ C-ELYSEE 1.6 HD? SH?NE,2017,63,Beyaz,"20 Ocak
                        2020",Samsun?lkad?m,84.500 TL
114,Punto,1.4 Lounge S&S,CAM TAVAN VE 2014 �IKI?LI DE???EN YOK,2013,69,Beyaz,"21 Ocak
                        2020",?zmir�i?li,67.750 TL
115,3,1.5 SkyActive-G Reflex,ARA� DEN?ZL?YE OPS?YANLANMI?TIR,2015,116,K?rm?z?,"08 Ocak
                        2020",Ayd?nDidim,105.500 TL
116,C Serisi,C 180 Comfort 9G-Tronic,2017 MERCEDES C 180 1.6 STYLE 9G-Tronic S?YAH_BEYAZ HATASIZ,2017,97.5,Siyah,"21 Ocak
                        2020",?stanbulKad?k�y,239.500 TL
117,626,2,SAH?B?NDEN FULL ORJ?NAL DE???ENS?Z KL?MALI 626 MAZDA,1991,192.8,Beyaz,"14 Ocak
                        2020",?stanbulBak?rk�y,21.950 TL
118,Accent Blue,1.6 CRDI Prime,2017 �?k?? 71.000'de Hatas?z! Accent Blue 1.6CRD? Prime DCT Orj.,2016,71,Beyaz,"22 Ocak
                        2020",?stanbul�sk�dar,109.750 TL
119,Astra,1.6 Enjoy Plus,OPEL ASTRA ENJOY PLUS HATASIZ,2009,164,Siyah,"21 Ocak
                        2020",MalatyaYe?ilyurt,63.500 TL
120,Egea,1.3 Multijet Easy,2017 Fiat Egea 1.3Multijet 95BG 67.000KM Kazas?z,2017,67,Beyaz,"21 Ocak
                        2020",Bursa?neg�l,82.750 TL
121,190,190 2.0,ADAR OTODAN ?LK SAH?B?NDEN SILAH G?B? ARABA,1985,277.5,Bordo,"20 Ocak
                        2020",AntalyaMuratpa?a,22.500 TL
122,Civic,1.6 LS,164000km de hasar kay?tl?,2004,164,Lacivert,"20 Ocak
                        2020",DenizliPamukkale,47.000 TL
123,Primera,1.6 GX,Hatas?z de?i?ensiz boyas?z Nissan primera,1997,198,Bordo,"22 Ocak
                        2020",KonyaKaratay,37.500 TL
124,3,1.6 Dynamic,YUNES ?N? ENJ OTO LTD ?T?(HATASIZ 2005 MAZDA 3 1.6 DYNAMIC OTMTK,2005,180,Mavi,"16 Ocak
                        2020",Elaz??Merkez,57.500 TL
125,Focus,1.8 TDCi Ghia,Temiz 2003 Model Ford Focus,2003,225,K?rm?z?,"21 Ocak
                        2020",KayseriKocasinan,34.000 TL
126,Civic,1.6 VTEC ES,VADE OLUR 2003 MD HONDA C?V?C 1.6 VTEC ES OTOMAT?K,2003,267,Gri,"21 Ocak
                        2020",AdanaSeyhan,49.950 TL
127,Focus,1.6 TDCi Trend,2012 MODEL FORT FOCUS TRENT PAKET,2012,172.7,Beyaz,"22 Ocak
                        2020",HatayAntakya,65.000 TL
128,Accent,1.5 LS,10 YILLIK SAH?B?NDEN TERTEM?Z ACCENT,1999,195,Beyaz,"20 Ocak
                        2020",?stanbulSancaktepe,20.000 TL
129,Almera,1.5 Tekna,EL?T AUTO'DAN 2005 N?SSAN ALMERA 1.5 TEKNA,2005,185,Siyah,"18 Ocak
                        2020",Kahramanmara?Af?in,46.000 TL
130,A3,A3 Sedan 1.6 TDI,GARANT?L? HATASIZ 2017 �IKI?LI 34.500 KM FULL S L?NE A3,2016,34.5,Beyaz,"19 Ocak
                        2020",AntalyaKepez,235.000 TL
131,Rio,1.4 CRDi Comfort,Temiz ve az kullan?lm??,2017,68,Beyaz,"19 Ocak
                        2020",TrabzonOrtahisar,85.000 TL
132,C Serisi,C 180 Komp. BlueEfficiency Luxury,SAH?B?NDEN D�?�K KM L? C180 KOMPRESSOR 1.6 156HP,2009,90,Siyah,"21 Ocak
                        2020",BursaGemlik,120.000 TL
133,Vectra,2.0 GLS,Alman Tanki,1997,264,G�m�? Gri,"21 Ocak
                        2020",K?r?kkaleMerkez,26.800 TL
134,Zafira,1.6 Enjoy,?LG?N?ZE TE?EKK�RLER,2006,135,Gri,"21 Ocak
                        2020",KonyaKaratay,63.000 TL
135,C4,1.6 SX PK,Tertemiz Masrafs?z Full+Full C4...,2005,270,Gri,"21 Ocak
                        2020",IspartaMerkez,36.500 TL
136,C3,1.4 HDi SX,OZANLARDAN SATILIK C?TROEN C3,2005,270,Mavi,"21 Ocak
                        2020",Kahramanmara?Oniki?ubat,27.750 TL
137,Corsa,1.2 Twinport Essentia,SAH?B?NDEN ?�?-DI?I TERTEM?Z BAKIMLI 2012 LPGL? CORSA TW?NPORT,2012,119,Beyaz,"22 Ocak
                        2020",KayseriKocasinan,54.950 TL
138,Fiesta,1.4 TDCi Trend,Orjinal yeni kasa,2010,230,Beyaz,"22 Ocak
                        2020",HatayAntakya,48.500 TL
139,Cerato,1.6 CRDi Concept Techno,2017 CERATO 1.6CRD? HATA BOYA DEG??EN YOK KAPALI GARAJ,2017,40.5,K?rm?z?,"18 Ocak
                        2020",AnkaraEtimesgut,119.750 TL
140,200,200 E,SIFIR FENN?,1990,450,F�me,"21 Ocak
                        2020",AfyonkarahisarMerkez,23.500 TL
141,Note,1.5 dCi Tekna,2011 NOTE TEKNA TEM?Z,2011,183,Siyah,"14 Ocak
                        2020",?stanbulMaltepe,53.000 TL
142,A3,A3 Sportback 1.6 TDI,ARACIM OPSIYONLANMISDIR,2016,60,Siyah,"21 Ocak
                        2020",Gaziantep?ahinbey,174.000 TL
143,Accent Blue,1.6 CRDI Biz,2015 ACCENT BLUE-1.6 CRD?-136 HP-DE???ENS?Z -HASARSIZ-85 B?N'KM,2015,85,Beyaz,"28 Aral?k
                        2019",KocaeliGebze,75.750 TL
144,Elantra,1.6 D-CVVT Style,S?f?rdan Fark? Fiyat? 23.000 km Boyas?z,2018,23,Beyaz,"22 Ocak
                        2020",?stanbulK���k�ekmece,113.000 TL
145,Civic,1.6i VTEC Eco Elegance,BEST OTO'DAN 2013 HONDA CIVIC OTOMATK SUNROF DER? KOLTUK ISITMA,2013,87,Beyaz,"20 Ocak
                        2020",?stanbulBa?c?lar,118.500 TL
146,Focus,1.6 Ti-VCT Style,HATASIZ OTOMAT?K V?TES,2012,167,Beyaz,"21 Ocak
                        2020",MardinK?z?ltepe,83.000 TL
147,Civic,1.6 i ES,Temiz 1.6?ES,1999,250,G�m�? Gri,"21 Ocak
                        2020",Ordu�nye,31.750 TL
148,Civic,1.6i VTEC Elegance,SAH?B?NDEN Orjinal De?i?ensiz Boyas?z,2011,183,Siyah,"19 Ocak
                        2020",Diyarbak?rYeni?ehir,89.900 TL
149,i20 Troy,1.4 CRDi Team,orjinal 117 km de dizel i 20 team,2012,117,Mavi,"21 Ocak
                        2020",Bing�lMerkez,51.500 TL
